Economic Load Response Zonal Charge Allocations
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:39 AM
Start Month:,"February, 2018",End Month:,"February, 2018"
4000.01,4000.02,4000.03,4000.05,4000.06,4000.32,1242.10,1243.10,3001.12,3000.48,1242.11,1242.01,1243.01,4000.07
Customer ID,Customer Code,Billing Month,EPT Hour Ending,GMT Hour Ending,Zone,Total PJM DA Load Response Charge ($),Total PJM RT Load Response Charge ($),RT Load (MWh),RT Exports (MWh),Total Benefited Zones RT Load plus Exports (MWh),DA Load Response Charge Allocation ($),RT Load Response Charge Allocation ($),Version
38738,TIDALE,"February, 2018",11/21/2017 19,11/22/2017 00,PJM,.00,.00,.000,100.000,96867.749,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/13/2018 03,02/13/2018 08,PJM,.00,.00,.000,10.000,2249.411,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/13/2018 04,02/13/2018 09,PJM,.00,.00,.000,10.000,2154.829,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/13/2018 05,02/13/2018 10,PJM,.00,.00,.000,10.000,2277.796,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/13/2018 06,02/13/2018 11,PJM,.00,167.15,.000,10.000,24892.031,.000,.070,20180201.000
38738,TIDALE,"February, 2018",02/13/2018 13,02/13/2018 18,PJM,.00,.00,.000,10.000,2907.977,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/13/2018 14,02/13/2018 19,PJM,.00,.00,.000,10.000,3041.684,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/13/2018 15,02/13/2018 20,PJM,.00,.00,.000,10.000,6440.637,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/16/2018 05,02/16/2018 10,PJM,.00,.00,.000,10.000,4156.785,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/16/2018 06,02/16/2018 11,PJM,.00,.00,.000,10.000,4846.163,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/16/2018 07,02/16/2018 12,PJM,.00,.00,.000,10.000,85119.789,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/22/2018 03,02/22/2018 08,PJM,.00,.00,.000,10.000,3679.351,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/22/2018 04,02/22/2018 09,PJM,.00,.00,.000,10.000,3531.595,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/22/2018 05,02/22/2018 10,PJM,.00,.00,.000,10.000,3407.981,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/22/2018 06,02/22/2018 11,PJM,.00,.00,.000,10.000,3003.093,.000,.000,20180201.000
38738,TIDALE,"February, 2018",02/22/2018 07,02/22/2018 12,PJM,.00,.00,.000,10.000,63847.187,.000,.000,20180201.000
End of Report
The data on this report is preliminary until the end of the billing cycle.  These results are based on load response transactions that have been settled to date.
